ID;Model;Phase;Device /Usage;Country;Internet provider;Indicator;Unit;Value ;Source;Source details
77;REN;Run;Smartphone;China;;Gas emmissions per year – Maximum consumption hypothesis ;kgCO2e/year;5.27094;Calculated;44, 28
78;REN;Run;Smartphone;World;;Gas emmissions per year – Maximum consumption hypothesis ;kgCO2e/year;4.01706;Calculated;46, 28
79;REN;Run;Smartphone;France;;Gas emmissions per year – Maximum consumption hypothesis ;kgCO2e/year;0.269352;Calculated;45, 28
80;REN;Run;Smartphone;European Union;;Gas emmissions per year – Maximum consumption hypothesis ;kgCO2e/year;2.135466;Calculated;47, 28
81;REN;Run;Smartphone;United States;;Gas emmissions per year – Maximum consumption hypothesis ;kgCO2e/year;3.81710945117433;Calculated;51, 28
82;REN;Run;Connected TV;China;;Gas emmissions per year – Minimum consumption hypothesis;kgCO2e/year;67.419;Calculated;44, 36
83;REN;Run;Connected TV;World;;Gas emmissions per year – Minimum consumption hypothesis;kgCO2e/year;51.381;Calculated;46, 36
84;REN;Run;Connected TV;France;;Gas emmissions per year – Minimum consumption hypothesis;kgCO2e/year;3.4452;Calculated;45, 36
85;REN;Run;Connected TV;European Union;;Gas emmissions per year – Minimum consumption hypothesis;kgCO2e/year;27.3141;Calculated;47, 36
86;REN;Run;Connected TV;United States;;Gas emmissions per year – Minimum consumption hypothesis;kgCO2e/year;48.8234929801368;Calculated;51, 36
87;REN;Run;Connected TV;China;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;107.206162134;Calculated;44, 36, 37, 38, 39, 40
88;REN;Run;Connected TV;World;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;81.703374666;Calculated;46, 36, 37, 38, 39, 40
89;REN;Run;Connected TV;France;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;5.4783765672;Calculated;45, 36, 37, 38, 39, 40
90;REN;Run;Connected TV;European Union;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;43.4334510026;Calculated;47, 36, 37, 38, 39, 40
91;REN;Run;Connected TV;United States;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;77.636560975048;Calculated;51, 36, 37, 38, 39, 40
92;REN;Run;Connected TV;China;;Gas emmissions per year – Maximum consumption hypothesis ;kgCO2e/year;146.415;Calculated;44, 40
93;REN;Run;Connected TV;World;;Gas emmissions per year – Maximum consumption hypothesis ;kgCO2e/year;111.585;Calculated;46, 40
94;REN;Run;Connected TV;France;;Gas emmissions per year – Maximum consumption hypothesis ;kgCO2e/year;7.482;Calculated;45, 40
95;REN;Run;Connected TV;European Union;;Gas emmissions per year – Maximum consumption hypothesis ;kgCO2e/year;59.3185;Calculated;47, 40
96;REN;Run;Connected TV;United States;;Gas emmissions per year – Maximum consumption hypothesis ;kgCO2e/year;106.030818088176;Calculated;51, 40
97;REN;Run;Data Center;China;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;4388829.21589689;Calculated;44, 35
98;REN;Run;Data Center;World;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;3344790.54779807;Calculated;46, 35
99;REN;Run;Data Center;France;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;224274.973147154;Calculated;45, 35
100;REN;Run;Data Center;European Union;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;1778088.0773362;Calculated;47, 35
101;REN;Run;Data Center;United States;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;3178302.4431297;Calculated;51, 35
102;REN;Run;Residential Router;China;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;68.1;Calculated;44, 41
103;REN;Run;Residential Router;World;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;51.9;Calculated;46, 41
104;REN;Run;Residential Router;France;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;3.48;Calculated;45, 41
105;REN;Run;Residential Router;European Union;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;27.59;Calculated;47, 41
106;REN;Run;Residential Router;United States;;Gas emmissions per year – Average consumption hypothesis;kgCO2e/year;49.3166595758958;Calculated;51, 41
107;REN;Run;Email;China;;Gas emmissions per year – Average consumption hypothesis;kgCO2e;0.000681;Calculated;44, 42
108;REN;Run;Email;World;;Gas emmissions per year – Average consumption hypothesis;kgCO2e;0.000519;Calculated;46, 42
109;REN;Run;Email;France;;Gas emmissions per year – Average consumption hypothesis;kgCO2e;3.48E-05;Calculated;45, 42
110;REN;Run;Email;European Union;;Gas emmissions per year – Average consumption hypothesis;kgCO2e;0.0002759;Calculated;47, 42
111;REN;Run;Email;United States;;Gas emmissions per year – Average consumption hypothesis;kgCO2e;0.000493166595759;Calculated;51, 42
112;REN;Run;Online Video;China;;Gas emmissions per year – Average consumption hypothesis;kgCO2e;0.0681;Calculated;44, 43
113;REN;Run;Online Video;World;;Gas emmissions per year – Average consumption hypothesis;kgCO2e;0.0519;Calculated;46, 43
115;REN;Run;Online Video;France;;Gas emmissions per year – Average consumption hypothesis;kgCO2e;0.00348;Calculated;45, 43
116;REN;Run;Online Video;European Union;;Gas emmissions per year – Average consumption hypothesis;kgCO2e;0.02759;Calculated;47, 43
117;REN;Run;Online Video;United States;;Gas emmissions per year – Average consumption hypothesis;kgCO2e;0.049316659575896;Calculated;51, 43
118;REN;Run;Laptop;;;Unit Electricity Consumption  – Minimum consumption hypothesis;kWh/year;13.23;Calculated;32
119;REN;Run;Laptop;;;Unit Electricity Consumption  – Average consumption hypothesis;kWh/year;55.8075;Calculated;31, 32, 33, 34
120;REN;Run;Laptop;;;Unit Electricity Consumption  – Maximum consumption hypothesis;kWh/year;100;Calculated;34
121;REN;Run;Smartphone;;;Unit Electricity Consumption  – Minimum consumption hypothesis;kWh/year;4;Calculated;29
122;REN;Run;Smartphone;;;Unit Electricity Consumption  – Average consumption hypothesis;kWh/year;5.935;Calculated;27, 28, 29, 30
123;REN;Run;Smartphone;;;Unit Electricity Consumption  – Maximum consumption hypothesis;kWh/year;7.74;Calculated;28
124;REN;Run;Connected TV;;;Unit Electricity Consumption  – Minimum consumption hypothesis;kWh/year;99;Calculated;36
125;REN;Run;Connected TV;;;Unit Electricity Consumption  – Average consumption hypothesis;kWh/year;157.424614;Calculated;36, 37, 38, 39, 40
126;REN;Run;Connected TV;;;Unit Electricity Consumption  – Maximum consumption hypothesis;kWh/year;215;Calculated;40
127;REN;Run;Data Center;;;Total consumption of average data centre's servers.;kWh/year;3222341.56820623;Calculated;128, 129
128;REN;Run;Data Center;;;Average consumption of one average data centre's server.;kWh/year/server;2142.85714285714;Calculated;130, 131
129;REN;Run;Data Center;;;Servers count in the average data centre.;servers;1503.75939849624;Calculated;135, 137, 132
130;REN;Run;Data Center;;;Total consumption of all US data centre's servers.;kWh/year;30000000000;Berkeley Lab (306);Shehabi, A., Smith, S.J., Horner, N., Azevedo, I., Brown, R., Koomey, J., Masanet, E., Sartor, D., Herrlin, M., Lintner, W. (2016). United States Data Center Energy Usage Report. Lawrence Berkeley National Laboratory, Berkeley, California. LBNL-1005775
131;REN;Run;Data Center;;;Total servers count in US data centres.;servers;14000000;Berkeley Lab (306);Shehabi, A., Smith, S.J., Horner, N., Azevedo, I., Brown, R., Koomey, J., Masanet, E., Sartor, D., Herrlin, M., Lintner, W. (2016). United States Data Center Energy Usage Report. Lawrence Berkeley National Laboratory, Berkeley, California. LBNL-1005775
132;REN;Run;Data Center;;;Average power capacity of one average data centre's server.;kW/server;0.3325;Berkeley Lab (306);Shehabi, A., Smith, S.J., Horner, N., Azevedo, I., Brown, R., Koomey, J., Masanet, E., Sartor, D., Herrlin, M., Lintner, W. (2016). United States Data Center Energy Usage Report. Lawrence Berkeley National Laboratory, Berkeley, California. LBNL-1005775
133;REN;Run;Data Center;;;Average power capacity of one average data centre's  2S+ server.;kW;0.37;Berkeley Lab (306);Shehabi, A., Smith, S.J., Horner, N., Azevedo, I., Brown, R., Koomey, J., Masanet, E., Sartor, D., Herrlin, M., Lintner, W. (2016). United States Data Center Energy Usage Report. Lawrence Berkeley National Laboratory, Berkeley, California. LBNL-1005775
134;REN;Run;Data Center;;;Average power capacity of one average data centre's 1S server.;kW;0.12;Berkeley Lab (306);Shehabi, A., Smith, S.J., Horner, N., Azevedo, I., Brown, R., Koomey, J., Masanet, E., Sartor, D., Herrlin, M., Lintner, W. (2016). United States Data Center Energy Usage Report. Lawrence Berkeley National Laboratory, Berkeley, California. LBNL-1005775
135;REN;Run;Data Center;;;Power capacity;kW;1000;Source not specified;Source not specified
136;REN;Run;Data Center;;;Surface ;m²;1000;Source not specified;Source not specified
137;REN;Run;Data Center;;;PUE (Power Usage Effectiveness);/;2;Berkeley Lab (306);Shehabi, A., Smith, S.J., Horner, N., Azevedo, I., Brown, R., Koomey, J., Masanet, E., Sartor, D., Herrlin, M., Lintner, W. (2016). United States Data Center Energy Usage Report. Lawrence Berkeley National Laboratory, Berkeley, California. LBNL-1005775
138;Residential Router Energy Consumption ;Run;Residential Router;France;Orange;Residential Router Power under their active mode (Modem only);W;9.1;GDS EcoInfo;https://ecoinfo.cnrs.fr
139;Residential Router Energy Consumption ;Run;Residential Router;France;SFR;Residential Router Power under their active mode (Modem only);W;11.5;GDS EcoInfo;https://ecoinfo.cnrs.fr
